ID_LONG,PTO1_PRE,PTO2_PRE,PTO3_PRE,PTO4_PRE,PTO5_PRE,PTO6_PRE,PTO7_PRE,PTO8_PRE,PTO_PRE_TOTAL,PTS1_PRE,PTS2_PRE,PTS3_PRE,PTS4_PRE,PTS5_PRE,PTS6_PRE,PTS7_PRE,PTS8_PRE,PTS_PRE_TOTAL,PVO1_PRE,PVO2_PRE,PVO3_PRE,PVO4_PRE,PVO5_PRE,PVO6_PRE,PVO7_PRE,PVO8_PRE,PVO_PRE_TOTAL,PVS1_PRE,PVS2_PRE,PVS3_PRE,PVS4_PRE,PVS5_PRE,PVS6_PRE,PVS7_PRE,PVS8_PRE,PVS_PRE_TOTAL,NTO1_PRE,NTO2_PRE,NTO3_PRE,NTO4_PRE,NTO5_PRE,NTO6_PRE,NTO7_PRE,NTO8_PRE,NTO_PRE_TOTAL,NTS1_PRE,NTS2_PRE,NTS3_PRE,NTS4_PRE,NTS5_PRE,NTS6_PRE,NTS7_PRE,NTS8_PRE,NTS_PRE_TOTAL,NVO1_PRE,NVO2_PRE,NVO3_PRE,NVO4_PRE,NVO5_PRE,NVO6_PRE,NVO7_PRE,NVO8_PRE,NVO_PRE_TOTAL,NVS1_PRE,NVS2_PRE,NVS3_PRE,NVS4_PRE,NVS5_PRE,NVS6_PRE,NVS7_PRE,NVS8_PRE,NVS_PRE_TOTAL,PTO1_POST,PTO2_POST,PTO3_POST,PTO4_POST,PTO5_POST,PTO6_POST,PTO7_POST,PTO8_POST,PTO_POST_TOTAL,PTS1_POST,PTS2_POST,PTS3_POST,PTS4_POST,PTS5_POST,PTS6_POST,PTS7_POST,PTS8_POST,PTS_POST_TOTAL,PVO1_POST,PVO2_POST,PVO3_POST,PVO4_POST,PVO5_POST,PVO6_POST,PVO7_POST,PVO8_POST,PVO_POST_TOTAL,PVS1_POST,PVS2_POST,PVS3_POST,PVS4_POST,PVS5_POST,PVS6_POST,PVS7_POST,PVS8_POST,PVS_POST_TOTAL,NTO1_POST,NTO2_POST,NTO3_POST,NTO4_POST,NTO5_POST,NTO6_POST,NTO7_POST,NTO8_POST,NTO_POST_TOTAL,NTS1_POST,NTS2_POST,NTS3_POST,NTS4_POST,NTS5_POST,NTS6_POST,NTS7_POST,NTS8_POST,NTS_POST_TOTAL,NVO1_POST,NVO2_POST,NVO3_POST,NVO4_POST,NVO5_POST,NVO6_POST,NVO7_POST,NVO8_POST,NVO_POST_TOTAL,NVS1_POST,NVS2_POST,NVS3_POST,NVS4_POST,NVS5_POST,NVS6_POST,NVS7_POST,NVS8_POST,NVS_POST_TOTAL,PANAS_6,PANAS_7,PANAS_8,PANAS_9,PANAS_10,PANAS_11,PANAS_12,PANAS_13,PANAS_14,PANAS_15,PANAS_16,PANAS_17,PANAS_18,PANAS_19,PANAS_20,POSITIVE_AFFECT_TOTAL,NEGATIVE_AFFECT_TOTAL,TAS_1,TAS_2,TAS_3,TAS_4,TAS_5,TAS_6,TAS_7,TAS_8,TAS_9,TAS_10,TAS_11,TAS_12,TAS_13,TAS_14,TAS_15,TAS_16,TAS_17,TAS_18,TAS_19,TAS_20,TAS_TOTAL,STQ_1,STQ_2,STQ_3,STQ_4,STQ_5,STQ_6,STQ_7,STQ_8,STQ_9,STQ_10,STQ_11,STQ_12,STQ_13,STQ_14,STQ_15,STQ_16,STQ_17,STQ_18,STQ_19,STQ_20,STQ_TOTAL,SAQ_1,SAQ_2,SAQ_3,SAQ_4,SAQ_5,SAQ_6,SAQ_7,SAQ_8,SAQ_9,SAQ_10,SAQ_11,SAQ_12,SAQ_13,SAQ_14,SAQ_15,SAQ_16,SAQ_17,SAQ_18,SAQ_19,SAQ_20,SAQ_21,SAQ_22,SAQ_23,SAQ_24,SAQ_25,SAQ_26,SAQ_27,SAQ_28,SAQ_29,SAQ_30,SAQ_TOTAL,SAQ_PUBLIC,SAQ_INTERACTIONS,SAQ_ASSERTIVE,SAQ_CRITICISM,SAQ_STRANGERS,BAQ_1,BAQ_2,BAQ_3,BAQ_4,BAQ_5,BAQ_6,BAQ_7,BAQ_8,BAQ_9,BAQ_10,BAQ_11,BAQ_12,BAQ_13,BAQ_14,BAQ_15,BAQ_16,BAQ_17,BAQ_18,BAQ_TOTAL,SNS_FREQUENCY,SNS_2,SNS_3,SNS_COMMENTS,SNS_CHECK,SNS_VISIT,SNS_SHARE,SNS_STATUS,SNS_PM,SNS_PROFILE,SNS_11,SNS_PHOTOS,SNS_NOTES,SNS_14,SNS_15,SNS_16,SNS_17,SNS_18,SNS_19,SNS_20,SNS_21,SNS_TOTAL
13,35,90,70,0,30,10,10,15,32.50,80,0,20,50,50,30,59,55,43.00,15,20,75,5,30,0,5,0,18.75,10,5,10,80,70,10,40,50,34.38,10,0,20,0,60,20,10,10,16.25,90,20,10,15,30,5,70,30,33.75,20,20,30,0,0,0,5,0,9.38,10,0,20,20,90,5,10,80,29.38,30,40,80,0,80,20,40,35,40.63,0,0,20,10,50,30,25,10,18.13,0,0,20,25,60,15,20,0,17.50,0,0,10,30,70,5,10,60,23.13,10,0,0,0,50,0,20,0,10.00,50,20,30,10,50,10,0,5,21.88,20,30,30,10,0,0,0,20,13.75,0,0,0,0,60,0,15,50,15.63,1,1,1,3,4,2,3,1,4,1,1,1,1,3,1,109.625,59,3,5,1,4,3,1,1,4,5,1,3,1,2,1,1,3,5,1,1,5,51,0,1,2,4,3,4,3,1,0,4,0,4,0,4,4,2,4,0,4,2,46,2,4,2,5,3,2,5,3,2,3,5,2,3,3,4,4,3,2,3,5,4,4,5,5,4,4,5,4,5,5,110,20,27,21,22,20,5,3,7,1,7,7,7,2,4,6,1,6,7,2,1,2,7,7,82,6,1,4,1,4,1,1,3,3,1,1,3,4,1,3,1,4,4,2,1,2,27
14,20,76,100,3,75,0,23,77,46.75,64,1,83,3,59,60,16,59,43.13,36,33,22,2,40,31,75,0,29.88,11,19,30,19,96,76,47,28,40.75,100,24,35,7,28,12,4,26,29.50,9,24,100,75,80,6,14,70,47.25,75,65,90,69,72,10,22,44,55.88,18,12,63,22,76,3,2,5,25.13,4,31,91,28,21,71,29,54,41.13,11,87,73,19,75,52,24,29,46.25,67,11,80,70,81,17,6,74,50.75,22,71,75,60,22,86,77,77,61.25,78,26,16,65,83,17,29,8,40.25,4,13,20,17,77,73,10,85,37.38,5,25,66,75,80,83,7,65,50.75,18,78,14,20,74,23,8,85,40.00,2,1,2,5,1,1,4,1,3,1,5,5,1,3,1,148,118,1,1,1,1,5,1,1,1,1,1,3,4,1,1,1,3,1,1,1,1,31,3,3,0,4,0,3,0,4,3,0,2,3,0,4,4,0,0,4,1,4,42,1,1,1,3,2,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,3,1,1,1,1,1,3,40,6,10,8,10,6,7,3,6,4,4,5,7,4,6,7,6,5,6,7,7,4,1,1,90,6,2,3,4,3,1,3,2,3,2,5,4,3,7,7,1,7,7,7,2,7,31
16,50,70,90,3,91,13,19,48,48.00,22,30,63,29,69,30,36,43,40.25,64,80,22,46,80,66,44,16,52.25,10,30,16,39,70,29,65,66,40.63,8,18,37,27,36,19,55,67,33.38,45,30,58,60,75,32,74,38,51.50,19,30,9,45,19,10,21,16,21.13,14,20,49,19,56,19,25,80,35.25,30,56,91,31,70,34,31,49,49.00,35,18,47,52,50,47,33,52,41.75,45,45,14,41,30,28,51,39,36.63,19,26,36,31,48,45,41,43,36.13,25,19,41,38,39,22,20,55,32.38,24,19,19,50,45,50,21,50,34.75,30,33,47,33,25,33,19,31,31.38,52,55,25,52,42,20,33,33,39.00,4,4,4,2,2,4,4,4,2,5,2,3,5,2,5,131,,3,3,2,3,4,1,2,2,2,3,3,2,2,2,3,3,2,3,3,3,51,1,3,3,3,4,1,2,2,1,2,2,3,3,3,3,1,3,1,2,1,44,4,4,3,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,117,22,24,24,24,23,4,3,5,5,4,5,5,5,5,4,5,5,5,4,5,5,5,4,83,6,5,7,3,4,4,4,3,5,6,5,5,7,5,4,5,4,3,3,5,3,47
17,64,80,99,15,100,60,65,45,66.00,30,70,85,70,100,76,65,93,73.63,75,56,35,8,30,45,55,4,38.50,35,55,18,80,80,68,27,95,57.25,5,22,10,12,44,20,50,20,22.88,52,50,80,40,28,52,85,40,53.38,25,20,15,5,40,38,25,16,23.00,11,18,25,40,85,17,22,85,37.88,30,41,84,80,62,30,80,50,57.13,7,11,95,86,20,40,96,65,52.50,47,50,60,55,45,59,58,35,51.13,65,30,19,37,35,19,30,35,33.75,39,59,45,37,50,19,35,30,39.25,6,5,99,89,56,13,74,80,52.75,25,59,27,15,31,45,12,28,30.25,70,20,40,44,30,10,6,38,32.25,1,1,2,4,3,2,3,1,3,2,2,3,1,4,1,90.25,59,3,2,1,2,2,2,2,4,4,4,2,2,2,1,5,2,4,2,3,1,50,1,0,1,0,0,2,0,0,3,1,0,2,0,4,2,0,1,2,1,0,20,3,4,2,2,3,1,2,3,2,1,2,2,1,4,1,4,1,2,1,2,3,3,2,4,2,4,2,3,2,2,70,12,11,19,20,8,4,2,2,5,5,3,4,2,5,5,3,6,4,3,5,4,5,3,70,7,1,7,2,7,2,1,2,3,2,4,4,3,3,4,1,3,4,2,2,4,33
18,99,99,100,15,100,72,100,100,85.63,99,100,99,99,100,10,39,85,78.88,100,100,49,91,100,7,20,85,69.00,88,99,100,99,99,10,9,100,75.50,1,7,9,5,13,1,10,20,8.25,100,18,20,57,20,82,20,60,47.13,80,19,25,0,0,60,0,99,35.38,0,4,83,3,100,7,4,100,37.63,85,98,100,86,100,86,100,87,92.75,63,77,94,87,78,51,96,79,78.13,89,100,99,64,89,31,10,50,66.50,47,39,88,94,100,35,70,100,71.63,9,0,37,18,8,6,30,82,23.75,100,9,7,51,8,36,24,60,36.88,68,16,10,1,19,44,7,40,25.63,2,61,97,0,100,1,32,95,48.50,1,1,3,3,1,2,2,1,1,3,4,3,4,2,3,196.5,114,5,5,5,4,1,5,5,1,5,2,5,5,5,5,5,5,5,1,1,3,78,1,2,4,1,2,0,3,4,0,4,0,0,4,3,2,0,3,0,4,0,37,5,5,5,5,4,5,3,5,5,5,5,4,4,5,5,5,5,5,4,5,5,5,5,5,2,5,5,5,4,5,140,23,30,29,30,28,7,7,1,4,1,1,1,2,3,7,1,1,7,7,1,1,1,7,60,4,2,7,3,5,2,5,2,4,5,3,4,5,3,5,6,6,7,2,6,6,39
19,55,50,61,0,61,50,70,59,50.75,0,36,61,50,48,41,60,41,42.13,54,40,40,42,60,54,39,0,41.13,0,45,31,54,49,46,66,34,40.63,1,40,41,11,65,69,56,70,44.13,1,34,2,45,30,27,50,41,28.75,33,70,4,51,59,59,23,40,42.38,1,50,22,20,44,36,61,53,35.88,4,99,38,43,42,27,40,37,41.25,33,31,42,36,24,61,32,38,37.13,41,39,50,48,48,12,32,5,34.38,0,46,41,57,38,38,44,35,37.38,4,50,27,17,41,31,72,41,35.38,0,43,0,40,35,9,4,56,23.38,39,40,18,38,4,38,39,0,27.00,19,50,43,36,50,17,26,40,35.13,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,132.125,78,3,3,3,3,3,2,3,4,4,4,3,3,3,2,3,3,2,2,4,4,61,2,2,2,2,2,2,1,2,2,3,2,3,2,1,2,1,2,1,2,3,39,3,2,2,2,3,3,3,3,3,3,2,3,4,3,2,3,4,3,3,2,3,4,3,2,2,3,4,3,2,3,85,15,17,16,17,20,4,4,3,3,5,5,4,4,3,5,4,4,5,4,3,5,4,3,72,3,1,1,3,1,1,1,1,1,2,2,1,1,2,2,2,2,2,2,2,2,15
20,65,54,70,30,85,32,40,48,53.00,15,60,42,30,60,54,39,48,43.50,65,46,49,52,35,45,35,34,45.13,10,36,39,45,60,26,20,66,37.75,74,32,37,25,82,52,65,57,53.00,73,54,35,65,50,46,59,74,57.00,59,53,30,37,26,60,47,31,42.88,33,73,40,75,40,35,21,75,49.00,80,74,76,37,80,41,46,66,62.50,24,54,48,72,75,35,55,40,50.38,50,43,73,39,39,50,73,43,51.25,35,61,56,62,65,74,64,70,60.88,62,60,58,44,58,53,44,34,51.63,53,63,44,76,72,74,63,63,63.50,50,54,38,49,59,56,50,40,49.50,40,64,65,60,55,36,78,81,59.88,1,1,1,2,2,3,2,1,1,1,2,3,1,3,1,207.875,127,2,3,1,2,3,2,1,2,3,1,2,2,2,1,1,1,2,1,3,1,36,2,2,1,2,0,3,1,1,4,1,1,2,0,4,4,0,1,4,2,1,36,1,2,4,1,1,1,2,3,1,3,2,2,2,2,3,2,2,2,1,1,2,1,1,1,2,1,1,2,1,1,51,13,6,9,11,12,3,5,6,2,6,2,4,3,4,6,2,2,2,4,5,2,3,2,63,4,1,1,2,4,2,1,2,2,1,2,2,3,1,4,1,2,1,2,1,2,23
21,65,64,80,34,95,64,52,46,62.50,25,47,70,59,69,59,59,50,54.75,48,60,45,58,66,58,49,49,54.13,28,42,36,61,29,54,59,68,47.13,2,0,0,4,2,0,0,6,1.75,11,4,13,30,3,39,4,5,13.63,0,2,33,0,0,2,0,0,4.63,2,0,0,0,45,0,9,5,7.63,64,11,85,33,91,69,39,67,57.38,26,64,78,51,62,6,69,53,51.13,53,66,66,71,54,59,42,40,56.38,46,69,34,63,1,58,37,42,43.75,0,0,0,0,2,1,0,0,0.38,4,6,4,1,0,14,0,4,4.13,2,1,4,1,0,0,3,0,1.38,1,0,2,0,2,0,1,3,1.13,1,1,1,3,3,1,1,1,3,1,4,4,1,4,1,26.125,11,1,1,1,5,5,1,1,1,1,5,1,1,1,1,1,1,1,3,3,3,38,4,0,0,4,0,4,1,1,3,1,3,3,1,3,3,1,1,3,1,2,39,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,6,6,6,6,6,3,3,3,3,3,3,3,3,3,5,3,3,2,2,2,2,2,2,50,3,2,1,1,2,2,2,2,3,2,3,3,3,4,4,2,4,4,2,2,6,23
22,90,90,99,69,81,100,100,69,87.25,69,80,59,80,90,90,29,100,74.63,99,98,99,79,80,40,99,60,81.75,80,90,50,90,70,90,100,85,81.88,60,100,50,99,99,98,70,80,82.00,60,88,80,100,90,79,100,79,84.50,79,89,81,59,69,99,60,91,78.38,100,79,70,57,100,70,90,80,80.75,76,80,99,39,80,88,96,49,75.88,42,70,59,81,38,86,19,100,61.88,98,77,91,80,78,90,89,58,82.63,65,74,45,64,89,84,80,90,73.88,60,90,49,75,98,88,41,95,74.50,51,81,69,99,89,52,98,92,78.88,90,61,80,40,70,82,57,89,71.13,93,81,38,60,100,29,67,94,70.25,5,5,5,4,5,5,4,5,4,5,4,5,5,4,5,267.25,,5,5,5,4,4,5,5,5,5,3,5,4,5,5,3,2,3,1,3,2,79,3,1,1,3,1,3,1,1,3,1,3,1,1,3,3,1,1,3,1,0,35,1,1,1,1,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,54,9,10,11,12,12,6,6,6,6,6,6,6,6,6,2,5,4,6,6,4,4,4,4,93,7,7,7,4,7,7,7,3,7,7,7,7,7,2,6,1,6,1,6,1,6,63
23,100,80,100,0,60,30,90,19,59.88,29,40,99,80,60,40,20,100,58.50,100,80,100,80,30,10,69,80,68.63,90,30,60,61,80,80,80,90,71.38,70,80,59,71,60,90,20,20,58.75,80,20,80,80,90,72,100,100,77.75,80,61,100,80,80,81,81,80,80.38,90,60,30,60,70,31,9,100,56.25,80,80,80,9,70,69,60,0,56.00,20,40,70,30,30,30,10,60,36.25,90,30,60,31,50,20,70,31,47.75,30,30,40,80,80,20,21,90,48.88,70,70,29,70,40,61,9,30,47.38,80,30,39,70,71,20,60,81,56.38,70,60,81,71,19,70,79,61,63.88,80,30,32,60,70,30,40,89,53.88,1,1,1,2,2,1,4,1,2,2,3,4,1,3,1,183.875,128,1,4,1,2,1,1,1,2,1,4,4,1,1,1,5,1,2,2,2,5,42,3,3,4,4,1,4,1,0,2,1,4,4,3,4,4,0,2,3,3,0,50,4,4,2,3,1,2,2,5,3,4,5,2,4,2,3,5,2,3,3,2,4,2,2,4,5,4,1,3,2,2,90,16,12,19,25,18,2,6,3,1,7,3,6,6,5,6,1,1,1,5,3,5,2,1,64,6,1,3,3,3,1,1,2,3,3,4,4,3,2,6,1,5,2,5,1,6,29
24,67,67,71,60,25,20,12,10,41.50,60,80,62,66,40,10,46,27,48.88,70,68,62,49,0,18,59,61,48.38,31,78,34,19,55,2,89,57,45.63,60,50,70,10,80,62,7,59,49.75,75,50,70,71,27,10,31,9,42.88,22,57,61,29,54,19,49,61,44.00,40,46,71,59,65,70,60,59,58.75,71,80,69,50,50,39,61,61,60.13,60,50,70,70,69,61,70,60,63.75,70,29,60,60,0,60,70,70,52.38,65,60,60,69,58,40,26,60,54.75,65,80,60,64,59,49,50,62,61.13,60,62,59,60,61,59,60,22,55.38,19,59,66,39,70,60,58,50,52.63,69,61,62,60,59,60,43,70,60.50,1,1,1,3,3,2,4,1,2,3,4,3,1,4,1,185.5,141,4,4,4,3,1,4,4,2,3,1,2,3,4,2,1,2,2,2,1,2,51,1,2,2,1,1,2,3,2,1,1,0,3,0,1,3,1,1,2,3,1,31,3,4,5,3,4,2,3,3,3,1,2,3,2,3,1,2,1,3,1,2,3,1,1,3,4,4,2,4,3,2,78,21,12,20,18,7,6,4,5,6,4,5,3,4,5,6,3,3,4,5,2,3,4,4,76,1,1,1,3,5,5,3,2,3,3,5,4,4,3,4,2,4,3,4,3,4,33
25,90,91,96,70,70,70,29,10,65.75,4,80,89,10,90,50,94,79,62.00,100,80,94,90,70,66,89,70,82.38,90,90,10,75,94,94,95,90,79.75,20,95,29,80,85,40,10,30,48.63,29,80,40,59,70,60,74,80,61.50,64,79,90,9,69,90,4,30,54.38,60,80,69,90,85,89,10,91,71.75,83,80,94,80,60,81,69,67,76.75,9,90,96,81,70,80,93,14,66.63,98,91,40,95,80,86,86,80,82.00,72,88,85,96,71,90,96,71,83.63,9,79,2,7,82,19,13,10,27.63,9,9,76,87,5,9,50,83,41.00,71,78,4,79,70,90,13,18,52.88,39,9,71,23,79,60,80,90,56.38,1,1,1,2,1,1,3,1,1,1,1,2,1,1,1,226.375,158,1,1,1,2,3,4,1,3,1,2,1,1,1,1,2,2,2,3,2,2,36,2,1,1,4,1,3,1,1,3,2,3,2,0,3,3,0,1,2,0,2,35,1,3,3,2,2,2,3,2,3,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,64,15,12,14,11,12,2,3,3,3,4,3,3,2,2,6,3,3,3,3,3,4,4,4,58,6,4,7,1,6,6,1,2,5,4,4,5,5,4,3,2,5,2,3,2,4,41
26,49,57,68,33,30,22,19,24,37.75,33,33,46,33,26,20,26,21,29.75,61,61,41,34,32,30,37,30,40.75,34,54,32,55,19,23,34,28,34.88,50,56,32,40,21,27,21,27,34.25,41,33,48,50,27,50,27,16,36.50,40,50,31,31,23,31,21,28,31.88,35,36,38,20,36,21,21,25,29.00,57,51,56,27,22,27,30,24,36.75,35,32,37,42,27,32,34,24,32.88,47,52,47,33,30,23,27,43,37.75,34,35,45,45,26,22,23,29,32.38,39,44,34,37,27,24,27,27,32.38,42,33,34,44,25,30,28,25,32.63,30,34,41,41,24,28,24,27,31.13,42,37,32,40,32,28,28,25,33.00,2,1,1,3,3,1,2,2,4,2,3,3,3,4,1,115,66,3,3,1,3,2,2,2,2,2,3,3,3,2,2,3,3,4,4,3,4,54,3,1,1,3,1,2,1,1,2,2,2,2,3,4,2,0,1,2,1,2,36,2,3,4,4,4,4,4,3,4,3,4,4,4,4,4,4,3,4,3,3,4,3,3,3,4,4,4,4,4,4,109,24,22,23,20,20,3,2,2,2,3,5,5,5,4,4,3,3,4,4,4,4,5,4,66,2,1,1,1,3,2,4,3,3,3,3,3,3,2,5,2,5,2,5,2,5,27
27,90,89,60,41,19,58,40,21,52.25,31,71,81,41,21,20,20,80,45.63,90,90,99,70,20,29,70,61,66.13,78,80,80,91,50,71,80,40,71.25,49,89,29,70,20,60,19,30,45.75,80,70,60,40,41,20,69,30,51.25,50,71,61,80,20,30,19,29,45.00,100,70,29,100,80,19,30,80,63.50,89,90,94,41,30,20,28,10,50.25,40,29,78,41,60,20,20,59,43.38,100,59,94,82,30,20,38,60,60.38,21,70,62,70,69,39,70,59,57.50,30,50,21,61,20,21,20,31,31.75,30,58,61,66,31,31,19,33,41.13,40,60,60,70,29,39,60,21,47.38,20,82,26,95,30,59,29,70,51.38,1,1,1,4,3,1,4,1,3,1,4,4,1,4,1,136.375,137,2,4,1,2,3,1,1,2,1,2,2,4,1,1,3,3,2,2,2,2,41,2,1,0,1,0,2,0,0,1,0,1,3,0,1,2,2,0,1,0,0,17,3,4,3,3,1,2,1,2,2,1,2,3,1,3,2,3,2,2,1,2,3,3,2,2,3,2,4,4,3,3,72,15,16,14,17,10,5,2,3,2,6,5,2,4,4,4,3,6,1,2,5,3,5,2,64,7,1,7,3,6,1,1,2,2,1,5,3,6,3,5,2,5,1,5,3,6,32
28,91,97,98,49,62,86,60,15,69.75,37,30,80,50,51,21,61,70,50.00,98,64,86,40,65,31,85,60,66.13,80,70,60,60,75,50,68,39,62.75,50,66,30,65,78,60,30,60,54.88,50,21,51,59,49,35,60,51,47.00,60,60,43,29,55,66,65,57,54.38,78,70,54,91,86,30,41,84,66.75,80,100,100,55,0,55,55,0,55.63,1,45,80,100,74,45,80,80,63.13,99,55,100,55,55,0,80,80,65.50,95,80,45,75,55,1,45,75,58.88,55,56,0,1,80,55,0,80,40.88,55,45,1,56,44,44,45,54,43.00,55,55,74,54,44,45,45,45,52.13,80,80,55,74,80,55,0,99,65.38,1,1,1,3,3,1,2,1,3,1,3,3,1,3,1,165.375,162,4,4,3,4,1,5,4,2,4,2,3,4,3,4,2,5,2,1,3,1,61,1,2,3,3,3,2,2,1,1,2,0,2,2,0,2,1,1,0,1,0,29,4,5,4,5,5,4,4,4,5,5,5,4,4,5,5,5,4,4,3,4,4,5,4,5,4,5,5,5,4,4,133,24,26,30,27,26,5,3,3,5,3,3,2,2,3,3,2,6,4,3,4,2,4,4,61,7,1,4,2,6,1,4,2,3,4,4,4,3,5,6,2,4,5,5,3,4,36
30,17,14,32,0,0,0,0,0,7.88,6,13,28,11,12,8,15,0,11.63,36,7,52,15,0,0,9,4,15.38,8,8,10,10,3,0,2,8,6.13,24,17,0,7,10,3,0,1,7.75,16,5,2,7,0,0,2,0,4.00,5,7,7,1,0,0,0,4,3.00,19,9,5,11,15,4,1,12,9.50,32,13,28,0,0,0,0,0,9.13,2,10,18,4,1,3,5,3,5.75,66,1,25,8,6,0,22,5,16.63,7,14,4,4,3,0,2,6,5.00,33,7,0,5,33,0,0,3,10.13,3,0,0,3,0,0,5,0,1.38,5,1,0,0,3,8,0,0,2.13,13,5,1,4,14,0,0,34,8.88,1,1,1,1,1,1,3,1,1,1,2,3,1,1,1,34.875,42,1,2,1,2,1,1,2,1,1,2,1,1,1,1,3,3,3,2,2,1,32,1,0,0,2,0,1,0,0,1,0,0,0,0,0,2,1,0,0,2,3,13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,1,1,2,1,2,36,7,8,6,9,6,6,1,2,4,4,1,6,5,6,4,4,4,1,1,6,1,3,7,66,7,1,1,1,5,1,1,1,2,5,3,3,3,3,5,3,5,1,2,4,5,29
31,10,31,2,0,0,0,20,2,8.13,2,1,4,67,75,2,15,3,21.13,99,5,50,3,2,0,6,1,20.75,40,2,4,0,1,6,6,16,9.38,4,0,0,0,24,10,6,0,5.50,0,8,1,65,10,1,50,7,17.75,5,35,8,1,0,10,20,16,11.88,42,41,4,64,8,1,9,56,28.13,64,80,83,0,2,0,45,0,34.25,1,0,16,0,0,0,0,46,7.88,97,51,85,0,0,0,47,24,38.00,93,0,0,0,49,0,0,8,18.75,0,55,0,34,48,1,67,0,25.63,0,0,0,1,0,0,42,0,5.38,15,20,60,0,1,0,1,0,12.13,77,57,20,88,83,0,0,93,52.25,1,1,1,5,1,1,1,1,3,1,4,5,1,5,1,159.25,101,1,1,1,1,3,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,25,1,4,1,1,0,1,1,0,4,2,0,4,0,0,0,2,0,1,4,0,26,3,1,1,2,1,3,1,4,1,1,1,1,1,1,3,1,1,1,1,1,2,1,2,2,1,1,1,2,1,1,44,6,10,6,14,8,7,7,7,7,7,7,7,7,7,1,7,7,7,7,7,7,7,7,120,6,3,2,4,6,4,3,3,3,4,2,4,4,4,4,2,4,6,3,2,4,41
32,90,80,81,19,12,22,57,18,47.38,50,32,30,50,20,29,30,34,34.38,100,23,50,60,69,30,60,28,52.50,51,50,48,14,50,54,39,43,43.63,26,40,30,15,34,26,39,28,29.75,30,29,18,36,20,33,57,27,31.25,12,30,6,20,31,50,30,41,27.50,20,7,45,45,60,33,14,69,36.63,80,66,80,40,8,9,49,26,44.75,48,20,33,37,42,11,60,19,33.75,89,59,36,37,67,31,30,20,46.13,23,20,9,29,54,40,21,31,28.38,48,33,0,0,19,72,0,10,22.75,70,60,20,19,30,60,13,43,39.38,20,39,38,72,28,29,10,28,33.00,50,39,51,77,38,66,57,67,55.63,1,1,1,3,4,1,4,1,3,1,4,4,1,4,1,176.625,141,1,3,1,4,3,2,1,1,2,1,3,4,2,1,2,2,4,3,1,2,43,1,0,0,1,0,4,0,0,0,1,0,3,0,1,2,0,0,0,0,0,13,2,2,1,4,3,2,1,2,3,1,3,1,2,3,1,2,2,1,1,3,3,2,4,2,1,2,4,2,1,4,65,6,21,16,13,9,1,6,5,1,3,5,6,2,2,6,1,1,1,1,4,3,5,3,56,7,1,7,4,5,1,1,2,2,2,2,1,2,1,4,1,4,3,4,1,4,27
33,98,100,98,50,9,10,7,29,50.13,50,80,82,96,62,8,86,59,65.38,100,92,94,88,70,21,15,23,62.88,65,66,83,77,10,60,64,37,57.75,58,67,29,19,28,6,34,6,30.88,88,50,50,82,24,0,12,9,39.38,44,65,66,79,22,24,18,36,44.25,99,57,73,100,67,3,6,31,54.50,100,99,100,28,5,8,10,8,44.75,70,76,84,91,64,8,84,10,60.88,99,95,96,93,8,9,17,8,53.13,69,77,53,66,7,10,11,13,38.25,86,73,9,49,18,1,2,14,31.50,80,11,12,83,5,10,9,10,27.50,68,18,10,59,6,13,7,8,23.63,82,78,52,99,70,12,14,15,52.75,1,1,1,1,1,3,1,1,1,1,2,2,1,1,1,145.75,37,1,2,4,2,1,2,3,1,1,1,2,5,2,3,5,4,3,2,1,2,47,1,1,1,3,2,4,0,1,4,1,1,1,0,2,2,2,0,0,1,2,29,4,2,2,2,1,2,2,3,4,1,2,2,1,3,1,3,1,2,1,2,4,1,2,3,2,1,1,3,1,1,60,11,10,13,20,6,7,2,7,5,5,6,6,6,6,7,6,6,6,3,6,5,6,6,101,5,1,7,2,6,1,1,2,3,1,4,3,3,2,4,1,2,2,2,1,2,27
