ID_LONG,CONDITION_ID,TRIAL_NB,MAIN_SUPPORT,PRE_LIKES,POST_LIKES,AGE,FB_MODALITY,FB_OPTIMALITY,VALENCE,CONTEXT,PRE_FB_MODALITY,PRE_FB_OPTIMALITY,PRE_VALENCE,PRE_CONTEXT
8,16,63,,3,4,23,Visual,Suboptimal,Negative,Social,Visual,Suboptimal,Negative,Social
8,16,64,10,40,50,23,Visual,Suboptimal,Negative,Social,Visual,Suboptimal,Negative,Social
10,1,1,8,18,3,21,Tactile,Optimal,Positive,Individual,Tactile,Optimal,Positive,Individual
10,1,2,10,20,7,21,Tactile,Optimal,Positive,Individual,Tactile,Optimal,Positive,Individual
10,1,3,5,17,18,21,Tactile,Optimal,Positive,Individual,Tactile,Optimal,Positive,Individual
10,1,4,21,7,2,21,Tactile,Optimal,Positive,Individual,Tactile,Optimal,Positive,Individual
10,2,5,13,9,22,21,Tactile,Suboptimal,Positive,Individual,Tactile,Suboptimal,Positive,Individual
10,2,6,9,15,13,21,Tactile,Suboptimal,Positive,Individual,Tactile,Suboptimal,Positive,Individual
10,2,7,20,17,26,21,Tactile,Suboptimal,Positive,Individual,Tactile,Suboptimal,Positive,Individual
10,2,8,22,9,27,21,Tactile,Suboptimal,Positive,Individual,Tactile,Suboptimal,Positive,Individual
10,3,9,18,15,26,21,Tactile,Optimal,Positive,Social,Visual,Optimal,Positive,Individual
10,3,10,16,7,8,21,Tactile,Optimal,Positive,Social,Visual,Optimal,Positive,Individual
10,3,11,22,5,47,21,Tactile,Optimal,Positive,Social,Visual,Suboptimal,Positive,Individual
10,3,12,16,8,0,21,Tactile,Optimal,Positive,Social,Visual,Suboptimal,Positive,Individual
10,4,13,24,11,12,21,Tactile,Suboptimal,Positive,Social,Visual,Optimal,Positive,Individual
10,4,14,10,6,9,21,Tactile,Suboptimal,Positive,Social,Visual,Optimal,Positive,Individual
10,4,15,14,15,4,21,Tactile,Suboptimal,Positive,Social,Visual,Suboptimal,Positive,Individual
10,4,16,17,17,20,21,Tactile,Suboptimal,Positive,Social,Visual,Suboptimal,Positive,Individual
10,5,17,4,28,1,21,Tactile,Optimal,Negative,Individual,Tactile,Optimal,Positive,Social
10,5,18,2,5,68,21,Tactile,Optimal,Negative,Individual,Tactile,Optimal,Positive,Social
10,5,19,1,14,18,21,Tactile,Optimal,Negative,Individual,Tactile,Optimal,Positive,Social
10,5,20,14,8,34,21,Tactile,Optimal,Negative,Individual,Tactile,Optimal,Positive,Social
10,6,21,5,15,23,21,Tactile,Suboptimal,Negative,Individual,Tactile,Suboptimal,Positive,Social
10,6,22,0,7,17,21,Tactile,Suboptimal,Negative,Individual,Tactile,Suboptimal,Positive,Social
10,6,23,0,17,8,21,Tactile,Suboptimal,Negative,Individual,Tactile,Suboptimal,Positive,Social
10,6,24,2,7,11,21,Tactile,Suboptimal,Negative,Individual,Tactile,Suboptimal,Positive,Social
10,7,25,7,10,17,21,Tactile,Optimal,Negative,Social,Visual,Optimal,Positive,Social
10,7,26,2,29,11,21,Tactile,Optimal,Negative,Social,Visual,Optimal,Positive,Social
10,7,27,14,25,20,21,Tactile,Optimal,Negative,Social,Visual,Suboptimal,Positive,Social
10,7,28,0,10,25,21,Tactile,Optimal,Negative,Social,Visual,Suboptimal,Positive,Social
10,8,29,1,12,51,21,Tactile,Suboptimal,Negative,Social,Visual,Optimal,Positive,Social
10,8,30,7,7,24,21,Tactile,Suboptimal,Negative,Social,Visual,Optimal,Positive,Social
10,8,31,0,15,18,21,Tactile,Suboptimal,Negative,Social,Visual,Suboptimal,Positive,Social
10,8,32,10,11,8,21,Tactile,Suboptimal,Negative,Social,Visual,Suboptimal,Positive,Social
10,9,33,18,6,0,21,Visual,Optimal,Positive,Individual,Tactile,Optimal,Negative,Individual
10,9,34,17,0,0,21,Visual,Optimal,Positive,Individual,Tactile,Optimal,Negative,Individual
10,9,35,18,1,1,21,Visual,Optimal,Positive,Individual,Tactile,Optimal,Negative,Individual
10,9,36,15,3,4,21,Visual,Optimal,Positive,Individual,Tactile,Optimal,Negative,Individual
10,10,37,2,11,17,21,Visual,Suboptimal,Positive,Individual,Tactile,Suboptimal,Negative,Individual
10,10,38,18,0,0,21,Visual,Suboptimal,Positive,Individual,Tactile,Suboptimal,Negative,Individual
10,10,39,1,9,12,21,Visual,Suboptimal,Positive,Individual,Tactile,Suboptimal,Negative,Individual
10,10,40,36,14,3,21,Visual,Suboptimal,Positive,Individual,Tactile,Suboptimal,Negative,Individual
10,11,41,29,5,6,21,Visual,Optimal,Positive,Social,Visual,Optimal,Negative,Individual
10,11,42,8,3,17,21,Visual,Optimal,Positive,Social,Visual,Optimal,Negative,Individual
10,11,43,18,3,0,21,Visual,Optimal,Positive,Social,Visual,Suboptimal,Negative,Individual
10,11,44,18,11,6,21,Visual,Optimal,Positive,Social,Visual,Suboptimal,Negative,Individual
10,12,45,30,8,4,21,Visual,Suboptimal,Positive,Social,Visual,Optimal,Negative,Individual
10,12,46,8,3,0,21,Visual,Suboptimal,Positive,Social,Visual,Optimal,Negative,Individual
10,12,47,7,11,11,21,Visual,Suboptimal,Positive,Social,Visual,Suboptimal,Negative,Individual
10,12,48,11,4,1,21,Visual,Suboptimal,Positive,Social,Visual,Suboptimal,Negative,Individual
10,13,49,0,0,0,21,Visual,Optimal,Negative,Individual,Tactile,Optimal,Negative,Social
10,13,50,0,0,0,21,Visual,Optimal,Negative,Individual,Tactile,Optimal,Negative,Social
10,13,51,1,6,3,21,Visual,Optimal,Negative,Individual,Tactile,Optimal,Negative,Social
10,13,52,0,0,0,21,Visual,Optimal,Negative,Individual,Tactile,Optimal,Negative,Social
