ID_LONG,CONDITION_ID,TRIAL_NB,MAIN_SUPPORT,PRE_LIKES,POST_LIKES,AGE,FB_MODALITY,FB_OPTIMALITY,VALENCE,CONTEXT,PRE_FB_MODALITY,PRE_FB_OPTIMALITY,PRE_VALENCE,PRE_CONTEXT
3,6,21,76,69,75,24,Tactile,Suboptimal,Negative,Individual,Tactile,Suboptimal,Positive,Social
3,6,22,60,79,76,24,Tactile,Suboptimal,Negative,Individual,Tactile,Suboptimal,Positive,Social
3,6,23,80,79,67,24,Tactile,Suboptimal,Negative,Individual,Tactile,Suboptimal,Positive,Social
3,6,24,82,88,75,24,Tactile,Suboptimal,Negative,Individual,Tactile,Suboptimal,Positive,Social
3,7,25,70,31,73,24,Tactile,Optimal,Negative,Social,Visual,Optimal,Positive,Social
3,7,26,73,72,73,24,Tactile,Optimal,Negative,Social,Visual,Optimal,Positive,Social
3,7,27,84,81,51,24,Tactile,Optimal,Negative,Social,Visual,Suboptimal,Positive,Social
3,7,28,67,80,82,24,Tactile,Optimal,Negative,Social,Visual,Suboptimal,Positive,Social
3,8,29,59,89,83,24,Tactile,Suboptimal,Negative,Social,Visual,Optimal,Positive,Social
3,8,30,19,30,71,24,Tactile,Suboptimal,Negative,Social,Visual,Optimal,Positive,Social
3,8,31,66,46,66,24,Tactile,Suboptimal,Negative,Social,Visual,Suboptimal,Positive,Social
3,8,32,63,81,61,24,Tactile,Suboptimal,Negative,Social,Visual,Suboptimal,Positive,Social
3,9,33,74,9,24,24,Visual,Optimal,Positive,Individual,Tactile,Optimal,Negative,Individual
3,9,34,87,10,79,24,Visual,Optimal,Positive,Individual,Tactile,Optimal,Negative,Individual
3,9,35,4,83,62,24,Visual,Optimal,Positive,Individual,Tactile,Optimal,Negative,Individual
3,9,36,32,8,77,24,Visual,Optimal,Positive,Individual,Tactile,Optimal,Negative,Individual
3,10,37,84,69,79,24,Visual,Suboptimal,Positive,Individual,Tactile,Suboptimal,Negative,Individual
3,10,38,60,80,30,24,Visual,Suboptimal,Positive,Individual,Tactile,Suboptimal,Negative,Individual
3,10,39,0,81,70,24,Visual,Suboptimal,Positive,Individual,Tactile,Suboptimal,Negative,Individual
3,10,40,37,50,71,24,Visual,Suboptimal,Positive,Individual,Tactile,Suboptimal,Negative,Individual
3,11,41,70,82,74,24,Visual,Optimal,Positive,Social,Visual,Optimal,Negative,Individual
3,11,42,79,71,69,24,Visual,Optimal,Positive,Social,Visual,Optimal,Negative,Individual
3,11,43,25,8,21,24,Visual,Optimal,Positive,Social,Visual,Suboptimal,Negative,Individual
